,Protein_ID,Y,Yhat,confidence
0,P29475,0,1.0,0.80829
1,O15169,0,1.588395416764982,0.6230100000000001
2,O00268,0,2.894131994225557,0.5490400000000001
3,P13688,0,0.7596051605933177,0.81503
4,P01308,0,2.094277918519889,0.53442
5,O43395,0,0.8955445270895245,0.73373
6,O14757,0,1.0644247272588137,0.78134
7,P15260,0,0.967470929795826,0.66629
8,O14763,0,3.519801130745883,0.7138100000000001
9,P00519,0,0.8312640976248162,0.63122
10,P20815,0,0.73824115301167,0.93465
11,P01011,0,3.005994011970084,0.85917
12,P17812,0,0.91104335791443,0.9152
13,P12004,0,0.8826097665446492,0.9433
14,P04090,0,0.5585696017507576,0.62343
15,P09493,0,1.035857133006285,0.916
16,P08621,0,2.656124997058685,0.71437
17,P25440,0,2.021138293140773,0.6603100000000001
18,P02774,0,1.0816653826391966,0.92817
19,O75369,0,2.9956635325082823,0.76917
20,P06734,0,1.0397114984456024,0.86319
21,P17676,0,0.9316651759081692,0.6061099999999999
22,P06756,0,1.108602724153247,0.8819
23,P15090,0,0.6862943974709396,0.96036
24,P00519,0,0.8694826047713663,0.63122
25,P12004,0,0.8449852069711044,0.9433
26,O15399,0,2.2565460332109337,0.6400199999999999
27,P02649,0,6.141091108264068,0.76146
28,O94762,0,2.272003521124032,0.71025
29,P27449,0,0.8240145629781066,0.8854500000000001
30,P06899,0,0.7687652437513027,0.85698
31,P08887,0,1.0084641788382966,0.7868600000000001
32,P05106,0,1.62265215003093,0.87496
33,P21589,0,3.426660181576224,0.9242
34,P0C024,0,1.7770762504743571,0.94142
35,P02748,0,5.748825967099717,0.78782
36,P12694,0,0.5440588203494178,0.91607
37,P26368,0,1.7484278652549552,0.7441
38,P06756,0,1.2222929272478018,0.8819
39,O00214,0,1.4230249470757708,0.90437
40,P15923,0,3.509130946545028,0.51695
41,P01308,0,2.0342074623793907,0.53442
42,P08700,0,1.214084016862095,0.83316
43,P22303,0,0.575325994545701,0.93173
44,P18074,0,1.2218837915284744,0.87678
45,O94901,0,2.653111381001559,0.60522
46,P21675,0,0.9736529155710468,0.63121
47,P08865,0,0.8780660567406077,0.7995300000000001
48,O60264,0,2.0137030565602267,0.75775
49,A6H8Y1,0,2.324865587512534,0.37376
50,P06899,0,0.6648308055437865,0.85698
